Year,Country,Region,Value
2008,,,4.278289587377491
2009,,,3.753584576901632
2010,,,3.0353991596103067
2011,,,3.0970933226114914
2012,,,2.8286620381467524
2013,,,2.76106690994838
2014,,,2.8701133456369448
2015,,,2.7706942988234347
2016,,,2.8332903820728634
2008,England,,4.097201680728869
2008,England,North East,2.9579903102464784
2008,England,North West,3.8657495594985565
2008,England,Yorkshire and The Humber,4.3087902205850535
2008,England,East Midlands,5.516620225731093
2008,England,West Midlands,4.093707698353784
2008,England,East of England,4.6072858181435965
2008,England,London,2.624113865548854
2008,England,South East,4.2010828112934115
2008,England,South West,5.033578966863682
2008,Wales,,4.72591822442956
2008,Scotland,,5.227853696976687
2008,Northern Ireland,,6.014101099849817
2008,Great Britain,,4.226856627621259
2009,England,,3.6017822768210688
2009,England,North East,2.8344660196059626
2009,England,North West,3.3637954835248456
2009,England,Yorkshire and The Humber,3.924688858325241
2009,England,East Midlands,5.076422522051688
2009,England,West Midlands,4.052093277016473
2009,England,East of England,4.085931130674512
2009,England,London,2.329213856329557
2009,England,South East,3.4625215023763025
2009,England,South West,3.8646818018064906
2009,Wales,,4.146275328477147
2009,Scotland,,4.128519275980047
2009,Northern Ireland,,6.412640597145092
2009,Great Britain,,3.6747223736497063
2010,England,,2.95009054669414
2010,England,North East,1.9714960330407272
2010,England,North West,2.7635638634679798
2010,England,Yorkshire and The Humber,3.2351447860503604
2010,England,East Midlands,4.060286602984509
2010,England,West Midlands,2.8027983426119136
2010,England,East of England,3.392222546329667
2010,England,London,1.5629855256376142
2010,England,South East,3.3108834451281104
2010,England,South West,3.649309007140861
2010,Wales,,2.9180605323788327
2010,Scotland,,3.952719394929877
2010,Northern Ireland,,3.0473733580890863
2010,Great Britain,,3.0350446101520467
2011,England,,3.0014780113773343
2011,England,North East,2.233826996261421
2011,England,North West,2.976206926313793
2011,England,Yorkshire and The Humber,3.2714270910470304
2011,England,East Midlands,4.121259351071351
2011,England,West Midlands,3.387614204943884
2011,England,East of England,3.3945037696049654
2011,England,London,1.9379828426356716
2011,England,South East,2.981699300479476
2011,England,South West,3.0183946630254765
2011,Wales,,3.949398092146964
2011,Scotland,,3.5095001792486653
2011,Northern Ireland,,3.2519106352910567
2011,Great Britain,,3.092523873153683
2012,England,,2.7872425943609205
2012,England,North East,2.9589095841771345
2012,England,North West,2.329081747522739
2012,England,Yorkshire and The Humber,2.7084515537953964
2012,England,East Midlands,3.7217603225759137
2012,England,West Midlands,3.119146615663894
2012,England,East of England,3.165549075490389
2012,England,London,1.6248676485120004
2012,England,South East,2.6705676056481704
2012,England,South West,3.820484426188522
2012,Wales,,3.02530816667301
2012,Scotland,,3.1993375489310454
2012,Northern Ireland,,2.632107100437917
2012,Great Britain,,2.8344544780470047
2013,England,,2.6547448449542688
2013,England,North East,2.9113408601709803
2013,England,North West,2.0976281175645943
2013,England,Yorkshire and The Humber,3.0912126939806224
2013,England,East Midlands,3.2184890889957902
2013,England,West Midlands,2.7490381890746174
2013,England,East of England,2.9894281727741694
2013,England,London,1.5802212381021516
2013,England,South East,2.6726515865428464
2013,England,South West,3.5331772784716446
2013,Wales,,3.601076040451439
2013,Scotland,,3.228410008071025
2013,Northern Ireland,,3.1152222328491983
2013,Great Britain,,2.750661495551516
2014,England,,2.7100361808240705
2014,England,North East,2.17664422559199
2014,England,North West,2.5655436828673976
2014,England,Yorkshire and The Humber,2.9477463453075887
2014,England,East Midlands,3.6442732187105182
2014,England,West Midlands,2.730478652907854
2014,England,East of England,3.1237626452155007
2014,England,London,1.5107705644273963
2014,England,South East,2.783469302615853
2014,England,South West,3.41120531159701
2014,Wales,,3.331138447288453
2014,Scotland,,3.7399955120053847
2014,Northern Ireland,,4.292316536067956
2014,Great Britain,,2.8284033651849265
2015,England,,2.6703743070784802
2015,England,North East,2.362245825206763
2015,England,North West,2.4672995685013657
2015,England,Yorkshire and The Humber,2.7640830961292453
2015,England,East Midlands,3.7203033201782834
2015,England,West Midlands,2.8342896887497826
2015,England,East of England,3.1926530798981183
2015,England,London,1.5679559607286984
2015,England,South East,2.626310738604633
2015,England,South West,3.162023548850522
2015,Wales,,3.3880957159627063
2015,Scotland,,3.0150753768844223
2015,Northern Ireland,,3.996498203466044
2015,Great Britain,,2.734814102908336
2016,England,,2.7104258956623184
2016,England,North East,2.123747747310425
2016,England,North West,2.5763118101873186
2016,England,Yorkshire and The Humber,2.543431394900715
2016,England,East Midlands,4.0428097570144335
2016,England,West Midlands,2.672075637324518
2016,England,East of England,3.474407319940064
2016,England,London,1.3199980154512596
2016,England,South East,3.102047273649427
2016,England,South West,2.9550650630997035
2016,Wales,,3.308546006456483
2016,Scotland,,3.5339611819342425
2016,Northern Ireland,,3.6517184288803666
2016,Great Britain,,2.809397566550623
