Year,Units,Sex,Age,Country,Region,Species,Fatality,Region of Birth,Ethnicity,Region of travel,Value
2000,"Incidence per 100,000",,,,,,,,,,3.4762023639999997
2001,"Incidence per 100,000",,,,,,,,,,3.457783308
2002,"Incidence per 100,000",,,,,,,,,,3.26788154
2003,"Incidence per 100,000",,,,,,,,,,2.884131912
2004,"Incidence per 100,000",,,,,,,,,,2.7622851460000004
2005,"Incidence per 100,000",,,,,,,,,,2.901680088
2006,"Incidence per 100,000",,,,,,,,,,2.8835847039999996
2007,"Incidence per 100,000",,,,,,,,,,2.522869107
2008,"Incidence per 100,000",,,,,,,,,,2.215976081
2009,"Incidence per 100,000",,,,,,,,,,2.401201944
2010,"Incidence per 100,000",,,,,,,,,,2.802764893
2011,"Incidence per 100,000",,,,,,,,,,2.643590372
2012,"Incidence per 100,000",,,,,,,,,,2.161524765
2013,"Incidence per 100,000",,,,,,,,,,2.341447137
2014,"Incidence per 100,000",,,,,,,,,,2.455231805
2015,"Incidence per 100,000",,,,,,,,,,2.150206219
2016,"Incidence per 100,000",,,,,,,,,,2.464657978
2017,"Incidence per 100,000",,,,,,,,,,2.713497556
2000,"Incidence per 100,000",,,,,,Fatal,,,,0.027171097999999998
2001,"Incidence per 100,000",,,,,,Fatal,,,,0.015225073
2002,"Incidence per 100,000",,,,,,Fatal,,,,0.015160275
2003,"Incidence per 100,000",,,,,,Fatal,,,,0.026829133999999998
2004,"Incidence per 100,000",,,,,,Fatal,,,,0.008340233
2005,"Incidence per 100,000",,,,,,Fatal,,,,0.016552653
2006,"Incidence per 100,000",,,,,,Fatal,,,,0.01315204
2007,"Incidence per 100,000",,,,,,Fatal,,,,0.00815407
2008,"Incidence per 100,000",,,,,,Fatal,,,,0.009705005
2009,"Incidence per 100,000",,,,,,Fatal,,,,0.009636931
2010,"Incidence per 100,000",,,,,,Fatal,,,,0.011153698
2011,"Incidence per 100,000",,,,,,Fatal,,,,0.012641197
2012,"Incidence per 100,000",,,,,,Fatal,,,,0.00313947
2013,"Incidence per 100,000",,,,,,Fatal,,,,0.010919473999999998
2014,"Incidence per 100,000",,,,,,Fatal,,,,0.004644196
2015,"Incidence per 100,000",,,,,,Fatal,,,,0.00921517
2016,"Incidence per 100,000",,,,,,Fatal,,,,0.009139646
2017,"Incidence per 100,000",,,,,,Fatal,,,,0.009085371
2000,"Incidence per 100,000",,,,,P. falciparum,,,,,2.640691097
2001,"Incidence per 100,000",,,,,P. falciparum,,,,,2.659312798
2002,"Incidence per 100,000",,,,,P. falciparum,,,,,2.467755905
2003,"Incidence per 100,000",,,,,P. falciparum,,,,,2.243586336
2004,"Incidence per 100,000",,,,,P. falciparum,,,,,2.035016835
2005,"Incidence per 100,000",,,,,P. falciparum,,,,,2.213089719
2006,"Incidence per 100,000",,,,,P. falciparum,,,,,2.278590878
2007,"Incidence per 100,000",,,,,P. falciparum,,,,,1.8558662209999999
2008,"Incidence per 100,000",,,,,P. falciparum,,,,,1.7582233580000002
2009,"Incidence per 100,000",,,,,P. falciparum,,,,,1.893656917
2010,"Incidence per 100,000",,,,,P. falciparum,,,,,2.0124457419999997
2011,"Incidence per 100,000",,,,,P. falciparum,,,,,1.8108515040000002
2012,"Incidence per 100,000",,,,,P. falciparum,,,,,1.57287423
2013,"Incidence per 100,000",,,,,P. falciparum,,,,,1.859430371
2014,"Incidence per 100,000",,,,,P. falciparum,,,,,1.809688512
2015,"Incidence per 100,000",,,,,P. falciparum,,,,,1.640300172
2016,"Incidence per 100,000",,,,,P. falciparum,,,,,1.992442914
2017,"Incidence per 100,000",,,,,P. falciparum,,,,,2.19865985
2000,"Incidence per 100,000",,,,,P. vivax,,,,,0.546818349
2001,"Incidence per 100,000",,,,,P. vivax,,,,,0.441527125
2002,"Incidence per 100,000",,,,,P. vivax,,,,,0.478390906
2003,"Incidence per 100,000",,,,,P. vivax,,,,,0.34374828
2004,"Incidence per 100,000",,,,,P. vivax,,,,,0.46038085799999995
2005,"Incidence per 100,000",,,,,P. vivax,,,,,0.42705845
2006,"Incidence per 100,000",,,,,P. vivax,,,,,0.356749077
2007,"Incidence per 100,000",,,,,P. vivax,,,,,0.417488359
2008,"Incidence per 100,000",,,,,P. vivax,,,,,0.28629764
2009,"Incidence per 100,000",,,,,P. vivax,,,,,0.329261805
